Id,SalePrice
1461,126323.55
1462,160989.585
1463,191832.761
1464,196300.528
1465,186651.061
1466,176540.297
1467,167864.455
1468,169927.082
1469,197400.722
1470,128902.899
1471,198584.364
1472,104337.8056
1473,104136.0875
1474,155253.313
1475,123602.418
1476,337129.584
1477,253379.84
1478,297537.31
1479,274430.779
1480,399817.708
1481,297552.671
1482,216381.181
1483,174291.418
1484,168049.231
1485,192230.533
1486,201633.362
1487,308261.675
1488,239005.154
1489,193872.613
1490,228483.458
1491,195899.2
1492,100337.7666
1493,183144.835
1494,283217.019
1495,281820.022
1496,224431.993
1497,176491.132
1498,158853.038
1499,160416.945
1500,148224.505
1501,165758.012
1502,154568.609
1503,274005.487
1504,240171.811
1505,217511.077
1506,185652.145
1507,248475.131
1508,191267.099
1509,157142.73
1510,145788.283
1511,142528.15
1512,170418.62
1513,140570.874
1514,181273.137
1515,205379.955
1516,161683.327
1517,174041.454
1518,137250.68
1519,218789.633
1520,130879.937
1521,134989.514
1522,173353.438
1523,115185.204
1524,125769.262
1525,122804.551
1526,124197.163
1527,114700.543
1528,141958.417
1529,142639.588
1530,177853.672
1531,117209.593
1532,109674.135
1533,135701.883
1534,130926.261
1535,164881.881
1536,113131.678
1537,90446.0342
1538,176659.493
1539,201351.599
1540,119729.575
1541,142785.907
1542,134011.653
1543,197538.684
1544,88146.7636
1545,110176.3454
1546,128875.875
1547,134600.717
1548,131792.571
1549,114035.112
1550,135413.853
1551,125298.213
1552,155027.645
1553,157887.608
1554,113970.077
1555,165321.429
1556,87344.1363
1557,111169.86
1558,103668.0266
1559,94474.2407
1560,142478.064
1561,141373.072
1562,135924.808
1563,124679.007
1564,172082.336
1565,147957.4
1566,224371.043
1567,86042.9297
1568,213527.883
1569,151512.973
1570,145348.838
1571,136726.027
1572,152682.549
1573,251348.682
1574,122507.471
1575,232749.44
1576,227198.241
1577,190402.319
1578,145919.54
1579,152041.393
1580,200388.255
1581,154669.072
1582,129421.807
1583,313591.528
1584,226463.281
1585,147014.373
1586,92605.9965
1587,105383.7312
1588,149867.329
1589,111746.008
1590,141375.86
1591,100923.5898
1592,126280.59
1593,138056.031
1594,157678.139
1595,121381.121
1596,216083.119
1597,178940.958
1598,200745.208
1599,194783.55
1600,187296.217
1601,92079.0383
1602,122241.386
1603,98303.5596
1604,259030.641
1605,251301.124
1606,166866.832
1607,185424.959
1608,215880.013
1609,193658.093
1610,150137.416
1611,144443.08
1612,176993.664
1613,168938.63
1614,136927.206
1615,103554.025
1616,83642.7249
1617,102497.1092
1618,127955.884
1619,142526.669
1620,174520.962
1621,135451.447
1622,140957.873
1623,277704.803
1624,209205.335
1625,130964.236
1626,169338.503
1627,189809.223
1628,274101.892
1629,188412.707
1630,322276.384
1631,213436.481
1632,226169.541
1633,179656.521
1634,192162.188
1635,181438.632
1636,157648.74
1637,191735.423
1638,208552.186
1639,183388.711
1640,255999.534
1641,177173.982
1642,218814.944
1643,226823.988
1644,234695.052
1645,195351.837
1646,158419.99
1647,165670.265
1648,132727.686
1649,137286.93
1650,123189.626
1651,132674.816
1652,105508.5282
1653,105963.5815
1654,153307.148
1655,150306.462
1656,146737.832
1657,151631.874
1658,151585.073
1659,129542.234
1660,159659.383
1661,382368.978
1662,377407.644
1663,362427.862
1664,394093.909
1665,311901.894
1666,306680.929
1667,325357.846
1668,324438.765
1669,303798.173
1670,338055.901
1671,249826.881
1672,383787.796
1673,283653.146
1674,249877.075
1675,188067.97
1676,189217.034
1677,219940.028
1678,388707.603
1679,344875.816
1680,321891.436
1681,273318.731
1682,292575.132
1683,182866.813
1684,182057.963
1685,174890.95
1686,175356.342
1687,177304.893
1688,197219.03
1689,201773.972
1690,204537.959
1691,191144.076
1692,270695.719
1693,173805.539
1694,185589.477
1695,173102.826
1696,256768.577
1697,175098.771
1698,335177.509
1699,295209.702
1700,246728.67
1701,266394.942
1702,244883.873
1703,248565.911
1704,276122.716
1705,241232.819
1706,367529.144
1707,210891.502
1708,194846.607
1709,286905.529
1710,220728.681
1711,253354.068
1712,251635.424
1713,257238.186
1714,209124.189
1715,196667.201
1716,187685.042
1717,181288.769
1718,145886.955
1719,207976.2
1720,247162.539
1721,179885.754
1722,140588.864
1723,159399.481
1724,213222.99
1725,236532.043
1726,181451.927
1727,153911.461
1728,184613.246
1729,155282.787
1730,159223.881
1731,117754.775
1732,127120.34
1733,122452.049
1734,125553.404
1735,139972.287
1736,114841.857
1737,302609.692
1738,222339.409
1739,261965.189
1740,208518.393
1741,186740.161
1742,162436.279
1743,169187.124
1744,269596.232
1745,199983.19
1746,220998.868
1747,217681.469
1748,224547.055
1749,154765.825
1750,135815.846
1751,235645.817
1752,120159.174
1753,152519.755
1754,210693.984
1755,169919.795
1756,132903.921
1757,122147.384
1758,155062.537
1759,169080.216
1760,172030.706
1761,151944.793
1762,186725.534
1763,179346.468
1764,120722.542
1765,174355.288
1766,187559.263
1767,220745.31
1768,144558.713
1769,176073.568
1770,148864.284
1771,127920.626
1772,135668.842
1773,138784.153
1774,147906.593
1775,136531.333
1776,126745.279
1777,118894.596
1778,143670.609
1779,123223.534
1780,181877.932
1781,131819.864
1782,97775.6706
1783,138590.612
1784,114122.338
1785,123792.247
1786,171606.713
1787,164232.136
1788,81428.1057
1789,107785.6609
1790,95455.0147
1791,196369.603
1792,156608.333
1793,137078.434
1794,152876.44
1795,134328.032
1796,137269.072
1797,130707.405
1798,121368.227
1799,115076.734
1800,127670.338
1801,136119.325
1802,147429.749
1803,151572.069
1804,143938.383
1805,146463.438
1806,126223.513
1807,140205.94
1808,134574.927
1809,125295.659
1810,147635.067
1811,103843.5368
1812,104622.6194
1813,125423.108
1814,102108.0869
1815,70443.7056
1816,103034.1316
1817,113734.559
1818,159503.654
1819,131621.028
1820,69492.5936
1821,115786.094
1822,151614.721
1823,62670.5075
1824,137801.499
1825,129753.732
1826,98874.2984
1827,105299.2434
1828,136586.42
1829,122389.902
1830,140468.047
1831,159558.333
1832,102531.1688
1833,138503.764
1834,124302.107
1835,135478.846
1836,128046.892
1837,103248.4429
1838,126543.088
1839,98683.3701
1840,155526.12
1841,146118.031
